Sport,Family,1614,1618,2350,All Stores
CYCLING,KIDS BIKE HELMETS,0.9,0.9333333333333333,0.25,0.7692307692307693
CYCLING,BIKE BABY SEATS,0,1.0,1.0,1.0
SKATE/ROLLER,ACCESSORIES JUNIOR SCOOTERS,0.5714285714285714,0.5,0.2,0.45
TENNIS,TENNIS BALLS,0.25,0.25,0.0,0.17391304347826086
CYCLING,TREKKING BOTTLES,1.0,0.5714285714285714,0.5,0.6666666666666666
HIKING/TREKKING,"""TOURING CAMP TENTS",0.0,0.0,0.0,0.0
Others,DART ACCESSORIES,0,0.5,0.0,0.3333333333333333
RUGBY,BALLS,0.6111111111111112,0.5714285714285714,0.2222222222222222,0.5208333333333334
TRIATHLON,EQUIPMENT ACCESSORIES TRIATHLON,1.0,0.96875,0.30303030303030304,0.7446808510638298
CYCLING,BIKE SAFETY ACCESSORIES,0,0.14285714285714285,0.16666666666666666,0.15384615384615385
HIKING/TREKKING,"""CHARGER",0.0,0.0,0.0,0.0
TENNIS,APPAREL ACCESSORIES,0.6153846153846154,0.5671641791044776,0.14634146341463414,0.48554913294797686
TENNIS,ADULT SOCKS,0.708171206225681,0.7406015037593985,0.15463917525773196,0.635483870967742
DIVING,SNK SUITS INT,0.9318181818181818,0.7222222222222222,0.4,0.7457627118644068
DIVING,SNK SUITS BEG,0.375,0.6296296296296297,0.25,0.4576271186440678
TENNIS,ADULT BEGINNER/INTERMEDIATE RACKETS,0.7692307692307693,0.76,0.48,0.7086614173228346
TRAIL,WOMAN TRAIL RUNNING CLOTHES,0.6071428571428571,0.6519337016574586,0.1518987341772152,0.5420560747663551
FOOTBALL,BAG TEAM SPORT,0.7735849056603774,0.7297297297297297,0.23333333333333334,0.6496815286624203
CLIMBING,MOUNTAINEERING & MULTIPITCH ROPES,1.0,0.7,0.0,0.5333333333333333
CLIMBING,OUTDOOR SINGLE ROPES,0,0.5,0.3333333333333333,0.42857142857142855
